time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.68517471075e-06,7.05762360326e-06,10.0001593258,0.00239164830524,0.000927874384392,0.0,-0.000214875053268,0.000431795558106,0.00531060204575,0.0157834808073,-0.0118199788988,0.0,406.7935563621933,405.7340035148284,404.5217764609921,405.940250801538
0.12000000000000001,-4.98820008899e-05,8.9807436553e-05,10.0040436965,0.00407119447791,0.00474553391448,0.0,-0.00170190006573,0.00249389344896,0.124160854503,0.0240356655225,0.0103180728767,0.0,441.8822882147488,443.7032073055726,442.55214800976614,443.2307055440769
0.18,-0.00026899209537,0.00035968196793,10.0159148326,0.0119174204827,0.00745949424497,0.0,-0.00591617057403,0.00732841078225,0.271512151517,0.0505831304898,-0.00678235823007,0.0,453.0452695015282,451.6684108854069,449.99206345561976,452.13604569577967
0.23999999999999996,-0.000779096367507,0.0010799988999,10.0354387194,0.020483424246,0.00735154201053,0.0,-0.0110708868815,0.0175402246418,0.379241245959,0.0751735320849,-0.00187342471272,0.0,438.9997034367858,439.4068624566193,438.7155974465276,440.7547798317947
0.3,-0.00160103982908,0.00259092124269,10.0620238388,0.0251259917548,0.00729637940372,0.0,-0.0163192474674,0.0333122018039,0.506869913772,0.0781323649181,-0.000190828205498,0.0,446.07158093715145,446.2089692095593,445.3605049108445,445.60697217492054
0.36000000000000004,-0.00282405458916,0.00529218545948,10.1017966799,0.0298034399781,0.0160792220673,0.0,-0.0256631417176,0.0573510308016,0.81869102648,0.0765053995206,-0.0338985987713,0.0,500.94037673473025,498.4836631203039,500.3982107694925,500.2838293024876
0.4200000000000001,-0.00469082709543,0.00936741950423,10.1539335613,0.034522801588,0.0147392971225,0.0,-0.0364164708925,0.0789663322026,0.919115641578,0.0794190013373,-0.0258944410859,0.0,437.37109936601195,438.03677557132517,437.91159917632785,438.1587278546175
0.48000000000000015,-0.00717247024425,0.0148315900037,10.2119263604,0.0393175018218,0.0131805141444,0.0,-0.0461481458826,0.103653871334,1.01388157166,0.0804519800018,-0.0280035678373,0.0,435.8211409103293,435.6446720889639,436.76996604775934,436.8613294937034
0.5400000000000001,-0.0102526813981,0.0220127186063,10.2789775227,0.044371986261,0.0121788133433,0.0,-0.0564171034045,0.136311971644,1.22093357433,0.0738919255668,-0.0383065684976,0.0,471.7019946792872,470.90548293794785,470.75790972005734,470.2546064842865
0.6000000000000002,-0.0139580425152,0.0312969471318,10.3589943075,0.0492366553875,0.016682688999,0.0,-0.067671109707,0.173728316086,1.44599741007,0.0799838918734,-0.068102515403,0.0,477.57845327516503,475.2992914416501,476.6872539815072,477.15661844829225
0.6600000000000003,-0.0183565292192,0.0427484419829,10.4475951211,0.0684859337878,0.0196095620577,0.0,-0.0792555042631,0.209798096987,1.50717201978,0.120442271721,-0.0983375293072,0.0,429.02367186896464,426.4438027658531,424.2982711470568,427.76520764105186
0.7200000000000003,-0.0237538018312,0.0571317245996,10.5458803895,0.0784273822814,0.0481312586782,0.0,-0.104329480549,0.27083928255,1.7684294211,0.137330985126,-0.163819509882,0.0,490.6383388734919,485.740861593894,487.7962109432032,489.0685660763868
0.7800000000000004,-0.0308994364463,0.0748971184318,10.6532158551,0.0875034870813,0.0402181824764,0.0,-0.133130737955,0.322173574568,1.80930973514,0.146219239714,-0.180231619755,0.0,422.6215945886901,421.1755006970352,421.3660561532522,422.15313610348824
0.8400000000000004,-0.0398700887505,0.0963955678184,10.768330966,0.0972551550528,0.0417560310135,0.0,-0.166017787395,0.395584122551,2.02736916237,0.134115837557,-0.14291455707,0.0,476.75768822729924,479.57543772051986,476.7197376037408,475.81145138479087
0.9000000000000005,-0.0505674797481,0.121886270014,10.8900537972,0.105290330385,0.0386743039538,0.0,-0.190315284988,0.454806493586,2.02997859267,0.13274427739,-0.169818084907,0.0,412.3357835806769,409.9283495150963,409.5415867876467,409.4377116779142
0.9600000000000005,-0.0630026838489,0.152059449019,11.0210440312,0.114950017877,0.0331981495059,0.0,-0.22341172869,0.552199940454,2.33564643474,0.117231022754,-0.147207533535,0.0,502.8262449173055,504.4398037498327,503.803412834939,502.6933717600745
1.0200000000000005,-0.0771363389205,0.187748861358,11.1654195578,0.123130463519,0.0317029187279,0.0,-0.247572809708,0.638276177911,2.47644825555,0.127821416687,-0.178105517568,0.0,458.03453022853296,455.5477985365655,456.25913728467674,457.1165740836387
1.0800000000000005,-0.0925497569777,0.22826817672,11.3141197994,0.131690800569,0.0291130802241,0.0,-0.265953829266,0.713100167124,2.48010575672,0.137030560552,-0.148113368612,0.0,411.1697271196823,413.7888427934307,413.8935615005556,414.72033570535723
1.1400000000000006,-0.109092327346,0.273879862664,11.4663172235,0.142436214747,0.0203158666234,0.0,-0.284536096837,0.808381595407,2.59272461724,0.1183863229,-0.14582250335,0.0,449.61881428045035,449.7842992797776,449.4955841855612,447.9977235699675
1.2000000000000006,-0.126633686587,0.325873004143,11.6283909006,0.149552371311,0.0135755157241,0.0,-0.299376827304,0.925480238004,2.80906555665,0.118917348389,-0.162596624217,0.0,481.4583705816477,480.1678645120459,482.08861343307797,482.14016783844744
1.2600000000000007,-0.144992207046,0.385048731657,11.8031778235,0.161541550537,0.0289388894897,0.0,-0.31433100486,1.0483785334,3.01630438716,0.0935518300651,-0.108881823712,0.0,478.84289650677397,482.89383747782745,480.6114904808788,478.695001698382
